R: [54, 67, 56] L: [55, 84, 70]
R: [55, 68, 56] L: [54, 83, 70]
R: [55, 68, 56] L: [57, 84, 72]
R: [52, 66, 55] L: [53, 83, 69]
R: [51, 66, 53] L: [53, 84, 71]
R: [55, 68, 56] L: [55, 83, 68]
R: [56, 69, 56] L: [54, 83, 70]
R: [56, 69, 59] L: [54, 81, 69]
R: [54, 67, 57] L: [56, 86, 72]
R: [53, 66, 56] L: [55, 83, 71]
R: [55, 68, 56] L: [55, 83, 71]
R: [56, 67, 57] L: [56, 85, 72]
R: [54, 68, 57] L: [53, 83, 71]
R: [53, 67, 57] L: [57, 85, 72]
R: [51, 64, 54] L: [56, 83, 70]
R: [55, 67, 56] L: [56, 85, 72]
R: [55, 68, 57] L: [56, 84, 70]
R: [53, 68, 56] L: [54, 83, 70]
R: [55, 68, 56] L: [57, 80, 72]
R: [53, 66, 56] L: [59, 83, 74]
R: [52, 66, 55] L: [55, 83, 70]
R: [57, 68, 57] L: [54, 81, 71]
R: [54, 67, 56] L: [54, 82, 70]
R: [55, 69, 57] L: [54, 84, 70]
R: [54, 67, 57] L: [54, 83, 69]
R: [55, 66, 57] L: [55, 83, 70]
R: [54, 67, 55] L: [57, 84, 70]
R: [55, 68, 57] L: [56, 84, 70]
R: [54, 68, 57] L: [53, 83, 70]
R: [53, 67, 56] L: [56, 83, 71]
R: [54, 64, 57] L: [55, 84, 71]
R: [54, 67, 55] L: [56, 85, 73]
R: [55, 67, 58] L: [56, 84, 71]
R: [54, 68, 58] L: [53, 83, 69]
R: [54, 66, 56] L: [55, 80, 70]
R: [57, 66, 56] L: [55, 80, 72]
R: [55, 67, 59] L: [55, 85, 71]
R: [54, 70, 57] L: [55, 85, 71]
R: [55, 68, 58] L: [55, 83, 70]
R: [54, 67, 57] L: [53, 83, 69]
R: [54, 67, 55] L: [55, 83, 71]
R: [57, 69, 57] L: [56, 82, 69]
R: [54, 68, 56] L: [56, 82, 70]
R: [54, 67, 57] L: [56, 84, 71]
R: [53, 65, 57] L: [57, 83, 72]
R: [54, 67, 55] L: [55, 84, 71]
R: [54, 69, 57] L: [57, 85, 71]
R: [54, 67, 57] L: [54, 83, 70]
R: [53, 67, 57] L: [56, 82, 70]
R: [53, 66, 55] L: [58, 86, 71]
R: [55, 68, 56] L: [55, 83, 70]
R: [56, 68, 57] L: [55, 84, 71]
R: [52, 65, 55] L: [54, 83, 70]
R: [54, 68, 56] L: [56, 83, 71]
R: [54, 66, 56] L: [57, 84, 70]
R: [55, 69, 56] L: [56, 82, 71]
R: [58, 69, 58] L: [54, 83, 70]
R: [53, 67, 58] L: [56, 84, 70]
R: [53, 66, 55] L: [57, 85, 71]
R: [53, 65, 56] L: [54, 83, 70]
R: [56, 69, 57] L: [54, 84, 70]
R: [53, 67, 56] L: [54, 81, 70]
R: [54, 67, 57] L: [55, 84, 71]
R: [53, 65, 55] L: [55, 84, 73]
R: [55, 67, 56] L: [54, 83, 69]
R: [55, 68, 57] L: [57, 84, 72]
R: [52, 67, 55] L: [57, 83, 70]
R: [54, 64, 56] L: [55, 86, 72]
R: [56, 68, 58] L: [56, 85, 72]
R: [55, 69, 57] L: [56, 85, 71]
R: [53, 66, 57] L: [57, 85, 71]
R: [53, 66, 55] L: [54, 84, 72]
R: [56, 68, 57] L: [55, 83, 72]
R: [55, 69, 57] L: [56, 84, 71]
R: [55, 68, 58] L: [56, 84, 71]
R: [53, 67, 56] L: [56, 84, 70]
R: [53, 67, 56] L: [56, 83, 69]
